#lon lat syntheticVeloEastMMPERYEAR syntheticVeloNorthMMPERYEAR syntheticVeloUpMMPERYEAR obsVeloUpMMPERYEAR siteName
106.052246546 -6.020772812 1.32499808525735 11.5165626328088 2.57487573790789 -0 CGON
106.663804267 -6.290831854 4.43867801752498 15.4637111405931 3.39553571356381 -2.9 CTGR
106.884531324 -6.110110508 3.63915452723305 13.2464683485287 2.10932663436477 -6.4 CJKT
107.096370425 -6.308319194 4.76308451261418 14.8582128601245 2.56829465622989 -0.5 CBTU
107.984591557 -6.312547945 4.21548281282063 12.902988334093 1.32587926775202 -15.9 CROL
108.560907581 -6.71613517 4.86471219771967 14.6326899778909 1.79470348657726 -2.3 CCIR
109.136069395 -6.871188413 4.52095456393103 14.4507815735576 1.70468020589115 -12.5 CTGL
110.376938343 -6.98726947 3.47731198183433 12.4713073811699 1.2147699562815 -0.8 CSEM
110.666754847 -6.596201429 2.79856439901761 9.9229423281191 0.504265375666813 -2.7 CJPR
109.669442526 -6.887013537 3.97326514433441 13.3107445661142 1.36110436566721 -107 CPKL
110.914206953 -7.096079541 3.19312044651933 12.168249980737 1.21836844497247 -1.1 CPWD
111.986435007 -6.872254417 2.52789240837537 9.43198861016126 0.558498785729657 0.4 CTBN
112.326522914 -7.092596349 2.64451100307259 10.0186298564739 0.767938134820475 -4.9 CLMG
112.441614888 -7.465579158 2.98032781353027 12.0835034700657 1.44421904685777 -1.3 CMJT
112.724366127 -7.334334962 2.83562243501675 10.7099633783295 1.0481302385093 -2.2 CSBY
112.901036244 -7.651407514 3.19065191501706 12.5316650531481 1.72144617593791 -1.4 CPAS
113.530419808 -7.718753298 3.3945367742037 11.403516990169 1.55524693207595 -3.5 CPAI
114.012882194 -7.703318469 3.49000783802293 9.70441955375703 1.2469598033832 0.1 CSIT
114.440346269 -7.838299211 3.7757934397207 8.72323951126189 1.26152130391849 -2.1 CBRN
